BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
1051486,1200,5 Avenue,10029,Manhattan,Active,1,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261243,1016077501,-73.953388,40.791138,111,8,16800,MN1101
1051486,1200,5 Avenue,10029,Manhattan,Active,1,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261252,1016077501,-73.953388,40.791138,111,8,16800,MN1101
1084673,13,West 56 Street,10023,Manhattan,Active,1,NYC Health Department Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261261,1012720026,-73.975211,40.762621,105,4,11201,MN0502
1084673,13,West 56 Street,10023,Manhattan,Active,1,NYC Health Department Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261270,1012720026,-73.975211,40.762621,105,4,11201,MN0502
1076225,25,Central Park West,10023,Manhattan,Active,4,NYC Health Department Audit & Inspection,2021,AH7E,NYCHC 141.07(c),Failure to provide results of drinking water tank inspection within five business days after receipt of Department’s request.,2020,12/27/2021,871261280,1011157501,-73.9804,40.770148,107,6,14900,MN0701
1024904,200,West 58 Street,10019,Manhattan,Active,2,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261299,1010290036,-73.979878,40.766327,105,6,13700,MN0502
1024904,200,West 58 Street,10019,Manhattan,Active,2,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261308,1010290036,-73.979878,40.766327,105,6,13700,MN0502
1034092,186,Riverside Drive,10024,Manhattan,Active,2,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261317,1012510037,-73.976814,40.792503,107,6,17900,MN0702
1041291,880,Fifth Avenue,10021,Manhattan,Active,2,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261326,1013840001,-73.968367,40.770607,108,4,12200,MN0802
1008629,250,Mercer Street,10012,Manhattan,Active,1,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261335,1005357501,-73.995378,40.728427,102,2,5501,MN0202
1077585,14,Monroe Street,10002,Manhattan,Active,4,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261344,1002530001,-73.996187,40.711396,103,1,800,MN0301
2093927,775,Concourse Village East,10451,Bronx,Active,2,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261353,2024430170,-73.919789,40.82318,204,16,6100,BX0401
2093927,775,Concourse Village East,10451,Bronx,Active,2,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261362,2024430170,-73.919789,40.82318,204,16,6100,BX0401
3001717,21,Clark Street,11201,Brooklyn,Active,1,NYC Health Department Audit & Inspection,2021,AH7E,NYCHC 141.07(c),Failure to provide results of drinking water tank inspection within five business days after receipt of Department’s request.,2020,12/27/2021,871261371,3002300001,-73.995326,40.698094,302,33,301,BK0201
3001717,21,Clark Street,11201,Brooklyn,Active,1,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261380,3002300001,-73.995326,40.698094,302,33,301,BK0201
1015926,29,West   36 Street,10018,Manhattan,Active,1,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261390,1008380024,-73.985386,40.750475,105,4,8400,MN0502
1015926,29,West   36 Street,10018,Manhattan,Active,1,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261409,1008380024,-73.985386,40.750475,105,4,8400,MN0502
1089972,395,9 Avenue,10001,Manhattan,Active,4,NYC Health Department Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261418,1007297504,-73.997123,40.752279,104,3,10300,MN0401
1023750,180,Central Park South,10019,Manhattan,Active,3,NYC Health Department Audit & Inspection,2021,AH7E,NYCHC 141.07(c),Failure to provide results of drinking water tank inspection within five business days after receipt of Department’s request.,2019,12/27/2021,871261427,1010110001,-73.978737,40.766725,105,6,13700,MN0502
1023750,180,Central Park South,10019,Manhattan,Active,3,NYC Health Department Audit & Inspection,2021,AH7E,NYCHC 141.07(c),Failure to provide results of drinking water tank inspection within five business days after receipt of Department’s request.,2020,12/27/2021,871261436,1010110001,-73.978737,40.766725,105,6,13700,MN0502
3424470,250,Ashland Place,11217,Brooklyn,Active,3,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261445,3021077501,-73.978336,40.687723,302,35,3300,BK0203
3424470,250,Ashland Place,11217,Brooklyn,Active,3,NYC Health Department Audit & Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/26/2021,871261454,3021077501,-73.978336,40.687723,302,35,3300,BK0203
3425311,96,Wythe Avenue,11249,Brooklyn,Active,1,NYC Health Department Inspection,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,11/24/2021,871261463,3022950021,-73.958332,40.721489,301,33,55700,BK0102
2024145,1210,Croes Avenue,10472,Bronx,Active,1,NYC Health Department Inspection,2021,AH7F,NYCHC 141.07(e),Failure to correct unsanitary condition of drinking water tank.,2021,12/27/2021,871261472,2037490001,-73.870695,40.829726,209,18,6800,BX0901
1008423,1,Bond Street,10012,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262600,1005297504,-73.994646,40.726887,102,2,5502,MN0202
1000792,33,Rector Street,10006,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262619,1000177502,-74.014871,40.708356,101,1,1300,MN0101
2006150,1106,Hoe Avenue,10459,Bronx,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262628,2027510003,-73.890815,40.825577,202,17,12701,BX0202
3413889,503,Fulton Street,11201,Brooklyn,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262637,3001457501,-73.985136,40.690584,302,33,1502,BK0202
4077480,107-15,70 Road,11375,Queens,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262646,4032380014,-73.845476,40.721247,406,29,71100,QN0602
3024471,1,Plaza St West,11217,Brooklyn,Active,2,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262655,3010600008,-73.971148,40.675145,306,39,15900,BK0602
1000832,5,Hanover Square,10004,Manhattan,Active,2,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262664,1000287502,-74.009046,40.704923,101,1,700,MN0101
1000000,320,WEST   13 STREET,10014,Manhattan,Active,2,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262673,1006270043,-74.00516391,40.73939599,102,3,7700,MN0203
2004223,530,East  169 Street,10456,Bronx,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262682,2026100012,-73.904676,40.832613,203,16,14500,BX0302
1037889,210,East   47 Street,10017,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871262691,1013207503,-73.971641,40.753727,106,4,9000,MN0604
1055055,132,West 116 Street,10026,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262700,1018250051,-73.950884,40.802519,110,9,21800,MN1001
1001167,111,John Street,10038,Manhattan,Active,3,NYC Health Department Audit,2024,,,,2020,,,1000750030,-74.005764,40.707671,101,1,1502,MN0101
1079097,413,East 13 Street,10009,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262710,1004410010,-73.982544,40.730443,103,2,3400,MN0303
1083622,230,West 36 Street,10018,Manhattan,Active,2,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262729,1007850049,-73.990731,40.752709,105,3,10900,MN0502
1087325,220,West 26 Street,10001,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262738,1007750046,-73.994904,40.746268,104,3,9100,MN0401
1080105,5,University Place,10003,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262747,1005480004,73.99536354,40.73091743,102,2,5900,MN0202
1006480,204,2 Avenue,10003,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262756,1004540007,-73.985578,40.731456,103,2,4001,MN0303
1055718,193,Manhattan Avenue,10025,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262765,1018440012,-73.96036,40.800203,107,7,19300,MN0703
1011753,697,Greenwich Street,10014,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262774,1006310030,-74.007307,40.733694,102,3,7500,MN0203
1017599,278,Madison Avenue,10016,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262783,1008690061,-73.980301,40.751432,105,4,8200,MN0502
1015219,441,7 Avenue,10001,Manhattan,Active,2,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262792,1008100001,-73.988166,40.749962,105,3,10900,MN0502
2000856,366,East 150 Street,10455,Bronx,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262801,2023280012,-73.918539,40.817031,201,17,6500,BX0102
1038579,237,East 55 Street,10022,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871262810,1013290017,-73.967264,40.759249,106,4,10801,MN0604
1008900,79,Washington Place,10011,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263499,1005520068,-73.999751,40.731951,102,2,6500,MN0202
1008999,810,Broadway,10003,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263508,1005570011,-73.991218,40.732681,102,2,6100,MN0202
1030988,277,West End Avenue,10023,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/18/2022,871263517,1011840019,-73.984102,40.780337,107,6,15900,MN0701
1009001,60,East 12 Street,10003,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263526,1005570017,-73.990911,40.733117,102,2,6100,MN0202
1009112,55,East   10 Street,10003,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263535,1005620030,-73.991943,40.731954,102,2,6100,MN0202
1009516,56,West   11 Street,10011,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263544,1005740015,-73.996807,40.734764,102,2,6300,MN0202
1009616,8,West   13 Street,10011,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263553,1005767503,-73.99475,40.735569,102,2,6300,MN0202
1009745,137,Varick Street,10013,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263562,1005790047,-74.005773,40.725789,102,3,3700,MN0201
1010638,132,West 14 Street,10011,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263571,1006090020,-73.997922,40.737806,102,3,7100,MN0203
1011743,277,West 10 Street,10014,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263663,1006317503,-74.008054,40.733488,102,3,7500,MN0203
1013061,334,West 17 Street,10011,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263681,1007400050,-74.002248,40.742131,104,3,8300,MN0401
1001167,111,John Street,10038,Manhattan,Active,3,NYC Health Department Audit,2024,,,,2021,,,1000750030,-74.005764,40.707671,101,1,1502,MN0101
1013588,361,West 36 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263690,1007600007,-73.994156,40.754183,104,3,11100,MN0401
1013595,315,West 36 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263700,1007607501,-73.993229,40.753785,104,3,11100,MN0401
1013596,307,West 36 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263719,1007600032,-73.99307,40.753717,104,3,11100,MN0401
1013628,344,West   38 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263728,1007610059,-73.992954,40.755259,104,3,11100,MN0401
1013637,341,West   38 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263737,1007620011,-73.992864,40.755237,104,3,11500,MN0402
1013711,80,Eighth Avenue,10011,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263746,1007640001,-74.002439,40.739851,104,3,8100,MN0401
1013813,201 west,16 Street,10011,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263755,1007660039,-73.999134,40.740067,104,3,8100,MN0401
1013887,270,West   19 Street,10011,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263764,1007687504,-73.999433,40.742475,104,3,8700,MN0401
1014267,214,West 29 Street,10001,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263773,1007780048,-73.993623,40.748148,105,3,9500,MN0501
1014340,243,West   30 Street,10001,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263782,1007800015,-73.993731,40.749018,105,3,10100,MN0501
1014422,261,West 35 Street,10001,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263791,1007850007,-73.991774,40.752358,105,3,10900,MN0502
1014448,222,West   37 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263800,1007860062,-73.990121,40.753255,105,3,10900,MN0502
1015868,45,West 34 Street,10001,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263810,1008360007,-73.986693,40.749344,105,4,7600,MN0501
1015881,40-44,West 35 Street,10001,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263829,1008360065,-73.985618,40.749739,105,4,7600,MN0501
1015890,35,West 35 Street,10001,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263838,1008370020,-73.985426,40.749679,105,4,8400,MN0502
1015945,20,West 37 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263847,1008380062,-73.984087,40.750716,105,4,8400,MN0502
1001115,80,John Street,10038,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263856,1000687501,-74.006886,40.708445,101,1,1502,MN0101
1015974,26,West 38 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263865,1008390062,-73.983776,40.751394,105,4,8400,MN0502
1016004,424,5 Avenue,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2022,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2022,2/10/2023,871263874,1008400042,-73.982665,40.751056,105,4,8400,MN0502
1014416,248,West 35 Street,10001,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263883,1007840068,-73.99154,40.75224,105,3,10900,MN0502
1000874,180,Maiden Lane,10005,Manhattan,Active,2,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263892,1000370023,-74.004873,40.705308,101,1,700,MN0101
1001011,50,Pine Street,10005,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263901,1000417501,-74.00862,40.706732,101,1,700,MN0101
1001167,111,John Street,10038,Manhattan,Active,3,NYC Health Department Audit,2024,,,,2022,,,1000750030,-74.005764,40.707671,101,1,1502,MN0101
1001019,30,Wall Street,10005,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263910,1000430005,-74.010377,40.706938,101,1,700,MN0101
1001091,14,Maiden Lane,10038,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263920,1000640023,-74.009385,40.709479,101,1,1502,MN0101
1001103,12,John Street,10038,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263939,1000650020,-74.0091,40.710004,101,1,1502,MN0101
1001135,160,Water Street,10038,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263948,1000700043,-74.005594,40.706452,101,1,1502,MN0101
1001266,42,Ann Street,10038,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263957,1000917503,-74.007019,40.710385,101,1,1501,MN0101
1014436,260,West   36 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263966,1007850075,-73.991338,40.752965,105,3,10900,MN0502
1016006,16,West   39 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263975,1008400058,-73.983091,40.751912,105,4,8400,MN0502
1016044,15,West   39 Street,10018,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263984,1008410027,-73.983073,40.751923,105,4,8400,MN0502
1016068,71,Fifth Avenue,10003,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871263993,1008420042,-73.993184,40.736584,105,2,5200,MN0501
1016138,867,Broadway,10003,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871264002,1008460060,-73.990207,40.737567,105,3,5200,MN0501
1016259,26,East   22 Street,10010,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871264011,1008500059,-73.988676,40.740281,105,2,5600,MN0501
1016266,935,Broadway,10010,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871264020,1008500075,-73.989459,40.740372,105,3,5600,MN0501
1016294,30,East   23 Street,10010,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871264030,1008510054,-73.987615,40.740706,105,2,5600,MN0501
1014279,257,West 29 Street,10001,Manhattan,Active,1,Self-Reported Annual Inspection,2021,AH7A,24RCNY 31-02(a),Failure to submit report of previous year’s inspection results by January 15 of the following year,2021,1/24/2022,871264049,1007790007,-73.994464,40.748521,105,3,9500,MN0501
